Duplicate,Lobe.number,BL,PL,BW,TLIW,TLL,TLDW,TEL,BLL,LLL,BSR,LSR,LLDW,LLIW,MidVeinD,BL.PL,TLDW.TLIW,TLL.TLDW,LLDW.LLIW,LLL.LLLDW,BL.BW,BL_PL,Putative_spp,General.location.Habitat,site,year,Latitude,Longitude
BRIT319825,5,6.211823997,2.404776938,7.40489777,1.382141618,3.874997184,2.69013183,1.365516956,1.669314312,3.043311484,2.13673111,2.316715869,1.883358632,1.655706029,3.66735566,2.588053751,1.931488493,1.47535554,1.096470981,1.692828103,0.84362998,8.616600935,Quercus shumardii var. acerifolia,"Logan County, Arkansas",Brown Springs. Rim of mountain.,1970,35.16985788,-93.65075334
BRIT319826,5,7.00730652,2.657266679,8.423542189,1.646050668,4.196672307,2.794282036,1.41506315,0.858680586,2.765784961,2.206746684,2.899811143,1.971865298,2.245663365,4.112109062,2.644929745,1.701918221,1.507679004,0.933040134,1.403350787,0.830435546,9.664573199,Quercus shumardii var. acerifolia,"Logan County, Arkansas",Rim of mountain. Near Brown Springs.,1967,35.16985788,-93.65075334
BRIT319827,5,8.896278335,2.860340129,10.88728094,1.833607627,5.365819517,3.786970953,1.902555042,2.373837229,4.52518683,2.156480228,3.646032041,3.848561095,2.483487796,5.131274009,3.139931317,2.099028697,1.414890338,1.592982484,1.178779819,0.817726028,11.75661846,Quercus shumardii var. acerifolia,"Logan County, Arkansas",Brown Springs. Rim of mountain. Ouachita Region.,1970,35.16985788,-93.65075334
GA136745,6.166666667,8.387514029,2.881431598,7.7053844,2.26427909,2.600379533,2.670141773,0.760718921,1.054631653,2.460791139,2.371519571,5.876808905,2.310324499,2.447972537,3.90919595,2.992260388,1.189644413,1.00805417,0.946787494,1.270419895,1.097917977,11.26894563,Quercus shumardii var. acerifolia,"Polk County, Arkansas","Polk County, AR. Glade on south side of Porter Mountain (Ouachita National Forest), 1.6 km west of Tall Peak, 579 m above sea level, in the NE 1/4 of the SE 1/4 of Section 23.",1993,34.39139586,-94.10334357
GA136746,5,8.016272216,3.740705099,8.844473678,2.127431648,3.365984433,3.103175004,0.997489849,2.701679909,3.822327915,2.247865681,4.74982676,2.873820553,2.67984543,4.457607918,2.174859738,1.499479542,1.099873665,1.075021426,1.359280434,0.913735984,11.75697732,Quercus shumardii var. acerifolia,"Logan County, Arkansas","Logan County, AR. Cameron rim of Magazine Mountain. 10 ft. tall. Very local. Ouachita National Forest.",1960,35.16985788,-93.65075334
UAM006663,5,7.89707657,3.86743887,7.555980167,2.242708044,3.085974828,3.233434663,0.941894896,2.47429355,3.363924975,3.057510635,4.874792768,2.941220468,2.182690191,4.24648231,2.055571832,1.434122957,0.960331959,1.352696667,1.152297981,1.059529677,11.76451544,Quercus shumardii var. acerifolia,"Logan County, Arkansas","Mt Magazine at Brown Spring on Forest Service Road 1606. N edge of mountain in very rocky soil about 200' E of spring; canopy of CArya tomentosa, Quercus stellata, Juniperus virginiana, and Amelanchier. Scattered trees about 30' tall.",1988,35.16985788,-93.65075334
UAM006664,5,7.397214101,2.884643814,8.358100052,1.870132119,2.927582504,2.06045128,0.951255355,1.20748053,2.181653572,3.484451323,4.652323151,1.158960964,2.472188338,3.880787571,2.572654768,1.103794602,1.498187878,0.485620794,1.882124788,0.884403606,10.28185791,Quercus shumardii var. acerifolia,"Logan County, Arkansas","Logan Countt: Magazine Mountain, Brown Springs, rock bluffline",1967,35.16985788,-93.65075334
0059435MOR,5,7.920472969,3.401981297,7.620550019,2.105877432,3.923762099,2.203982166,2.057453071,1.800059736,3.267144277,1.630145014,4.097141776,1.962976897,2.327779387,3.270950581,2.348887153,1.032720375,1.865458864,0.842784643,1.657055075,1.042318988,11.32245427,Quercus buckleyi,"McCurtain County, Oklahoma","Valliant, 3 mi. N of Valliant, along Little R.",1969,NA,NA
0059436MOR,5.666666667,9.081430153,2.966495316,6.950530899,1.745489351,3.727595617,2.610222389,1.629479258,2.029029303,2.988337595,2.517321148,5.255221912,1.164032678,2.266348058,3.574075878,3.098723389,1.461296043,1.537795218,0.513314975,2.580851508,1.385268166,12.04792547,Quercus buckleyi,"Osage County, Oklahoma",Near Pawhuska.,1913,NA,NA
0059443MOR,6.333333333,9.391378542,3.728902502,7.835191758,1.191314791,3.30334169,1.832958858,0.841406202,2.520569,3.074188901,2.297415718,6.142855993,1.536161873,2.373282968,4.290308219,2.530379975,1.462702351,2.098240126,0.653868144,2.098413194,1.202985278,13.12028104,Quercus buckleyi,"Tarrant County, Texas","Woods along Trinity River, near Ft. Worth",1925,NA,NA
0059445MOR,5,9.953841136,2.378935832,7.871954957,2.959841833,4.048972261,2.67391966,1.007131359,1.375939723,2.75093557,3.257243184,6.028066054,2.040997412,2.972809129,4.196142959,4.219076919,0.900050613,1.506573746,0.680069766,1.402338394,1.262285823,12.33277697,Quercus buckleyi,"Tarrant County, Texas","North Fort Worth, bottomland along Cattlebaron Rd. ca. 3 mi. SW of Fort Worth Nat. Cent. & Refuge, S of Azle.",1994,NA,NA
0064978MOR,5,6.324095603,2.239477815,5.837012843,1.431101217,3.130959864,1.65534953,0.758744322,1.950259464,3.070931229,1.550160187,3.590489941,1.613289726,2.283621431,3.62351493,2.885670323,1.214670594,1.89543107,0.779270167,1.954867141,1.088040853,8.563573418,Quercus buckleyi,"Dallas County, Texas","At the Cedar Ridge Preserve in Dallas, TX.",2013,NA,NA
0064979MOR,6.333333333,9.478966666,1.743122595,6.910317196,2.137780841,3.335647926,3.015388227,1.159440079,1.415555213,2.905169918,1.699813601,6.111976959,1.511418839,2.641171183,3.660274011,7.181257212,1.468937703,1.123378441,0.586901745,1.977309949,1.436996319,11.22208926,Quercus buckleyi,"Dallas County, Texas","At the Cedar Ridge Preserve in Dallas, TX",2013,NA,NA
0064983MOR,5,6.829422676,2.07063672,7.669795099,1.587021853,3.60628535,2.449061075,1.024047342,2.383290471,3.383960961,1.549638839,3.27463641,1.779878962,1.979120154,4.17084392,3.331793521,1.618474702,1.708849127,0.922260949,1.961912049,0.921438718,8.900059395,Quercus buckleyi,"Dallas County, Texas","At the Cedar ridge Preserve in Dallas, TX.",2013,NA,NA
0076255MOR,5,6.514504917,2.379299425,5.733120481,1.210929334,3.363137375,2.344784148,0.934162458,1.938104795,2.26246274,1.307070105,3.323036366,1.225917081,1.938713361,2.708500327,2.738270218,1.865237145,1.618612557,0.675770188,1.844437324,1.151603295,8.893804342,Quercus buckleyi,"Dallas County, Texas","At the Cedar Ridge Preserve in Dallas, TX.",2013,NA,NA
0076256MOR,5,7.109380458,2.448821649,8.720533079,1.379800419,4.136836332,2.380181506,1.002309297,1.602259537,4.05107428,1.39996691,3.193791442,1.660416634,1.667959476,4.720229947,3.114655508,1.834269306,1.72779028,1.004944122,2.709880972,0.821067224,9.558202107,Quercus buckleyi,"Dallas County, Texas","At the Cedar Ridge Preserve in Dallas, TX.",2013,NA,NA
0076257MOR,7,8.633820341,1.703717815,7.103795861,1.58914755,2.827676972,1.33381128,0.780488404,1.022571518,3.074150267,1.313378306,5.960782365,1.268123048,2.479434774,3.826830104,5.067635184,0.839325008,2.119997794,0.511456507,2.424173483,1.215381257,10.33753816,Quercus buckleyi,"Dallas County, Texas","At the Cedar Ridge Preserve in Dallas, TX.",2013,NA,NA
0076258MOR,7,8.920244664,2.750563009,9.242083811,1.47193263,3.798501171,3.129902619,0.892267005,0.557777176,3.881051388,1.797153177,5.290964752,2.45291214,2.930323673,5.145299025,3.243061378,2.126389861,1.213616407,0.837078908,1.582221933,0.965176777,11.67080767,Quercus buckleyi,"Dallas County, Texas","At the Cedar Ridge Preserve in Dallas, TX.",2013,NA,NA
14242,5,5.588977949,2.222958652,4.797108869,1.256778445,2.281384123,1.150414987,0.526631391,1.068469305,2.008095879,1.921727093,3.384395912,0.96170622,1.716803379,2.537790724,2.548044663,0.929962409,2.029397978,0.555453927,2.191608826,1.171281335,7.811936601,Quercus buckleyi,"Travis County, Texas","Jonestown, ca 3.5 mi S, 1.5 mi E",2006,NA,NA
7015,6,8.666823114,2.549740379,7.142297771,1.459521534,3.595790546,2.786509705,1.184827493,2.314399869,3.165413273,1.841022579,5.174075657,1.813049158,2.291004817,3.693018643,3.478421148,1.878198796,1.304479673,0.85880297,1.815643814,1.221105838,11.21656349,Quercus buckleyi,"Murray County, Oklahoma","Arbuckle Mts, Arbuckle Wilderness, 6 mi. w of Dougherty.",1993,NA,NA
7029,5.5,8.7201709,2.784919507,7.425157687,1.687017245,3.535692697,2.16709486,0.957055284,2.179083231,3.393596229,1.831816143,5.355937103,2.025878289,2.369741946,4.002103551,3.141458064,1.323973331,1.631127739,0.859319073,1.726448884,1.16494039,11.50509041,Quercus buckleyi,"Hood County, Texas",3 mi. E of Lipan on St. Rd. 4.,1993,NA,NA
7030,6.166666667,8.320880362,2.034861455,7.637234103,1.553709361,4.127358783,2.216295874,0.990605213,2.190636163,3.642568751,1.65819553,4.310498467,1.866979188,2.204825606,3.906745807,4.224169785,1.408488135,2.02991639,0.889198028,2.136646838,1.13329219,10.35574182,Quercus buckleyi,"Somervell County, Texas",2 mi NE of Glen Rose on St. Rd. 201 near junction with US 67,1993,NA,NA
78688,5.416666667,6.138144198,1.854656076,4.905521764,1.148979574,2.814911267,1.478335993,0.747266787,0.792517985,2.158611312,1.527441433,3.393728885,0.852240771,1.764635833,2.670151222,3.340272356,1.271957219,1.944563907,0.506050864,2.658915973,1.254928229,7.992800274,Quercus buckleyi,"Travis County, Texas",By US 290 3 mi.E Dripping Springs; Limestone glade in juniper-oak,1991,NA,NA
87898,5,7.523076851,1.684351399,6.573594665,1.04173006,4.681600207,2.435135849,1.539868241,0.88002774,3.188487106,1.294016337,2.89599073,1.414307102,1.605819144,3.103613736,4.726608266,2.401070857,1.947121058,0.885580561,2.336689033,1.164743015,9.20742825,Quercus buckleyi,"Tarrant County, Texas","Tarrant, Texas, United States. Oak woodland along Trinity River, river trail, just E of University Drive and just N its jct. with I-30.",1998,NA,NA
87900,6.5,10.19285155,3.342031739,9.711112418,1.944609042,3.727821736,2.831371778,1.236385804,2.596048867,4.612628414,2.107247388,6.533277773,3.053987647,3.140584043,5.143500831,3.138275591,1.469875338,1.324771893,0.981237862,1.546244105,1.060888035,13.53488329,Quercus buckleyi,"Tarrant County, Texas","Tree to ca. 50 ft, oak woodland along Trinity River, river trail, just E of University Drive and just N its jct. With I-30; bark shallowly furrowed, with long narrow vertical flat ridges.",1998,NA,NA
APSC0045969,5,6.835497654,2.109451833,6.07810953,1.463203494,3.170526553,2.10459382,0.681505988,1.454327104,2.593413839,1.696217283,3.801150551,1.644061501,2.015215481,3.039263642,3.293131192,1.449094322,1.721327548,0.81290761,1.587437356,1.129743949,8.944949487,Quercus buckleyi,"Somervell County, Texas","Glenrose, Austin",1938,NA,NA
APSC0116183,5,7.253681957,2.263464428,6.685529754,1.579305316,3.575803129,2.038182941,0.935522268,0.898554933,1.839530232,2.417003969,3.838165305,0.922398079,2.173444958,3.185392064,3.351929706,1.271595962,1.846251289,0.425814163,2.269728582,1.103238541,9.517146385,Quercus buckleyi,"Tarrant County, Texas",West side of Fort Worth Nature Center and Refuge at the junction of Hanger Cutoff Rd. and Eagle Mountain Dam Rd. on roadside. Open oak woods. ,2014,NA,NA
BRIT307140,6.666666667,10.4865701,3.239481262,9.256997839,1.683501266,3.291305057,2.44491467,1.288211651,2.962612445,3.458970958,2.498217465,7.308810028,1.651251496,2.962607891,4.795956155,3.390082973,1.496602202,1.366759836,0.544318099,2.166474367,1.138225439,13.72605136,Quercus buckleyi,"Travis County, Texas","Waller Creek, Austin",1933,NA,NA
LL00286550,5.666666667,5.969510184,1.90511218,5.061418649,1.071131732,2.33795995,1.154167306,0.390982383,0.866143915,2.126191253,1.319401887,3.754292441,0.737690513,1.753236563,2.522320994,3.147727998,1.074029148,2.275126213,0.438639448,3.24830351,1.190276663,7.874622364,Quercus buckleyi,"Erath County, Texas",4 mi. N of Stephenville.,1945,NA,NA
LL00286551,5,7.679287167,2.484071987,7.71364829,1.720672114,3.695736194,1.956186097,1.040726891,2.059031002,3.336842027,2.324636192,4.293447013,1.637319296,2.199014948,4.299810677,3.137227893,1.111769537,1.917467896,0.709666211,2.327235248,1.034100621,10.16335915,Quercus buckleyi,"Tarrant County, Texas","Bluebird Avenue, Oakhurst, Fort Worth.",1948,NA,NA
LL00286562,6,7.870220315,1.27896904,5.160225159,1.962174954,2.533468257,1.973562132,1.087785192,1.192838916,1.794628702,1.873913293,5.185497966,1.035031686,2.232579296,2.904068987,6.287787029,1.004367959,1.461266205,0.460345748,1.749183582,1.525024561,9.149189355,Quercus buckleyi,"Dallas County, Texas",Off Hillcrest Road north of University Park.,1942,NA,NA
LL00378251,5,7.741397137,2.355030453,7.383495061,1.37081223,3.733500696,2.521727166,0.925744804,1.942960884,3.077624066,1.910187952,4.00269075,1.232572052,2.349009208,3.843482562,3.317351442,1.830691071,1.544637291,0.524417403,2.560521548,1.057430476,10.09642759,Quercus buckleyi,"TRAVIS County, Texas",Barton Creek.,1976,NA,NA
LL00378258,5,6.804259334,3.260950919,6.558836751,1.568470587,3.791316613,2.258238908,1.326478818,0.967988638,2.79400237,1.41092543,3.018706291,1.319662921,1.68669424,2.896048669,2.095874845,1.473042839,1.721651276,0.751375197,2.449744238,1.036050911,10.06521025,Quercus buckleyi,"TRAVIS County, Texas",On hills 10 miles northwest of Austin.,1940,NA,NA
LL00378270,7.333333333,9.283606833,3.62489827,8.185458443,2.015295246,2.647449502,1.739291194,0.744933185,1.639914968,2.493718265,2.015680781,7.014283696,1.437709219,2.407541306,4.137170944,2.723544335,0.885622337,1.614583932,0.568950901,1.846792892,1.13025665,12.9085051,Quercus buckleyi,"Dallas County, Texas","Off Hillcrest Road north of University Park, along wooded ravine through prairie.",1942,NA,NA
LL00378272,5.666666667,8.969434685,3.733035499,7.819038214,1.228416886,2.852388907,1.737447308,0.890300578,2.407325223,2.632782299,1.955262444,6.260233075,1.217702306,2.858961677,3.965032334,2.410528484,1.287070103,2.03715992,0.469302238,2.194791576,1.147329381,12.70247018,Quercus buckleyi,"Dallas County, Texas","Belt Line Road, 2 airline miles WNW of Cedar Hill, frequent in low woods at base of hill.",1948,NA,NA
LL00378273,5.333333333,6.596472721,2.060559621,6.165935326,1.123075665,3.531247985,1.459274317,0.886254282,1.444766415,2.652626403,1.194017124,3.210221434,0.93812901,1.592765176,3.107061086,3.224784081,1.309710372,2.461186392,0.570354521,3.07495169,1.074162759,8.657032342,Quercus buckleyi,"Dallas County, Texas","Off Coit Road, south of White Rock Creek, along ravine.",1944,NA,NA
TEX00206295,5.333333333,5.492182939,1.870933761,4.734071103,1.219710035,2.096572473,0.942785006,0.445019092,0.785551044,1.912277584,1.761041337,3.510055374,1.127462759,1.404887486,2.63155744,2.972448932,0.77382284,2.236027793,0.795118198,1.715585556,1.158392759,7.3631167,Quercus buckleyi,"Parker County, Texas","Mineral Wells. Texas Air National Guard Training Base, Fort Wolters, TA 3. Top of hillside near state park fenceline. Edge of steep ravine near edge of Juniperus/Quercus woods. Elev. 301 m.",2004,NA,NA
TEX00286549,7,9.021531892,2.574519312,7.189317424,1.456744059,3.336053919,2.712482429,0.982952901,1.483936241,3.618608244,1.847551618,5.692909617,2.285149214,2.525950339,4.053471618,3.50416167,1.862017156,1.229889596,0.904669097,1.583532586,1.254852354,11.5960512,Quercus buckleyi,"Somervell County, Texas",11 miles SW of Glen Rose.,1943,NA,NA
TEX00378227,5,7.536487731,2.658265428,5.353101798,1.131814698,4.307810177,2.050464731,1.437335591,0.846534368,2.582657882,1.747482661,3.308552985,0.983266223,1.680423866,2.812251796,2.830839514,1.815979246,2.099005271,0.591889629,2.618912969,1.405885176,10.19475316,Quercus buckleyi,"Tarrant County, Texas",Prairie.,0-00,NA,NA
TEX00378236,5.333333333,8.723560941,2.653866068,7.815109253,1.659942136,4.441864221,2.421007876,1.873012313,1.864382732,2.988866014,1.784031517,4.496499786,1.080789864,1.872505929,3.634095353,3.298706419,1.484377503,1.838507552,0.576458249,2.836413701,1.131202152,11.37742701,Quercus buckleyi,"TRAVIS County, Texas","Austin, Shoal Creek bank.",1921,NA,NA
TEX00378237,5.666666667,4.35720655,2.250512873,3.420858533,0.54549953,2.285411854,1.185074241,1.018603435,1.5609354,1.908982314,1.155733399,2.17301336,0.940382411,0.738037499,1.895867657,1.940901714,2.16471324,1.940209165,1.307957702,2.081144715,1.269441675,6.607719423,Quercus buckleyi,"TRAVIS County, Texas","On lower slopes of Mount Bonnell, limestone soil on west side; northwest of Austin.",1946,NA,NA
TEX00378238,6.333333333,6.57380574,2.073223404,5.494915321,1.286253748,2.710725821,2.18040088,1.037772916,1.46177486,2.394292714,1.377036579,3.726348365,1.207325998,1.823198633,2.593840893,3.176777099,1.662402236,1.345635647,0.674526389,1.988069878,1.213196899,8.647029144,Quercus buckleyi,"TRAVIS County, Texas","Shoal Cr., Austin.",1933,NA,NA
TEX00378241,5.666666667,9.020248912,2.127964054,7.630278407,1.271667507,3.375632541,1.425909421,0.758928742,1.670782083,2.904156928,1.619042655,5.588101831,1.129729031,2.676521251,3.672087516,4.284156527,1.198241442,2.398448166,0.475420149,2.715314059,1.184218956,11.14821297,Quercus buckleyi,"TRAVIS County, Texas",Rob Roy [Ranch] #4.,1933,NA,NA
TEX00378242,5,6.313312558,2.273041482,6.109103647,1.168546484,2.916688663,1.5953846,0.828964688,1.128081071,2.694206023,1.592677839,3.471548593,1.124649703,2.146016833,3.194131201,2.789618465,1.364393461,1.846569196,0.518753717,2.453411096,1.034971048,8.58635404,Quercus buckleyi,"TRAVIS County, Texas",Rob Roy [Ranch] #19.,1933,NA,NA
TEX00378243,6.333333333,8.863840373,3.137789419,6.90672863,1.331399399,2.789248365,2.264430414,0.658989315,2.328736974,3.193786578,1.823594914,5.820491285,1.805803836,2.303460854,4.134783489,2.887359271,1.835109374,1.263732554,0.784826091,1.76266475,1.284456741,12.00162979,Quercus buckleyi,"TRAVIS County, Texas",Waller Creek.,1911,NA,NA
TEX00378244,5.666666667,6.992032581,2.237459971,6.50378676,1.337600205,2.875017758,2.361249997,1.000252612,1.373312194,2.091311993,2.086648286,4.272745906,0.86549724,1.677391005,3.348054525,3.209578475,1.796654279,1.215016628,0.503888389,2.611060499,1.076448638,9.229492552,Quercus buckleyi,"TRAVIS County, Texas",Deaf and Dumb Institute grounds.,1911,NA,NA
TEX00378245,5,5.791585467,1.541570471,4.182302127,1.327810227,3.087782042,1.927094278,1.049679033,0.641557381,1.967609118,1.193320151,2.731092061,0.786205448,1.768263235,2.210126149,3.758275577,1.463048972,1.640702187,0.441705881,2.694817242,1.388086811,7.333155938,Quercus buckleyi,"TRAVIS County, Texas","S side of Lime Creek Rd., 4.0 roadmiles N of F.M. 2769. Mansfield Dam Quadrangle.",1981,NA,NA
TEX00378247,5,8.884184524,2.244667824,7.565443369,1.359165985,5.438685031,3.551162703,1.854580546,2.432328978,3.37476942,1.282812117,3.591704195,1.944239019,2.071600039,3.715592909,3.957906122,2.612751306,1.531522345,0.938520459,1.735779083,1.174311153,11.12885235,Quercus buckleyi,"TRAVIS County, Texas",Rob Roy Ranch #24.,1933,NA,NA
TEX00378250,5.333333333,7.652749967,2.318019544,7.651266773,1.473457938,3.948022051,2.898451011,1.104238591,2.601884323,2.961171907,1.158117782,3.595314936,2.185487095,1.853261411,3.435109526,3.493575557,2.029483346,1.350265157,1.225874237,1.345409871,1.00722623,9.970769512,Quercus buckleyi,"TRAVIS County, Texas",Rob Roy Ranch #5.,1933,NA,NA
TEX00378252,5.666666667,5.78212501,1.545414192,5.46396439,1.298498977,1.823643053,0.888179471,0.37412346,1.13781955,2.117030192,1.704464179,3.946021875,0.869527812,2.171330151,2.79636446,3.854352589,0.677674975,2.19261129,0.390211598,2.743813824,1.054911486,7.327539202,Quercus buckleyi,"TRAVIS County, Texas",Rob Roy Ranch #14.,1933,NA,NA
TEX00378253,5,6.015224466,1.788779092,5.115485075,1.184773222,2.891959776,1.453869065,0.814340911,1.303025518,2.490486601,1.327020673,3.12271711,1.304589191,1.868887024,2.739868343,3.505485029,1.244851241,2.00877425,0.687777912,2.134824022,1.178443923,7.804003558,Quercus buckleyi,"TRAVIS County, Texas",Upper Barton #5.,1933,NA,NA
TEX00378254,5,10.1532458,2.968138422,9.216210974,1.691231607,5.900791969,3.629481318,1.958022254,2.277661864,4.049683012,2.048040103,4.392982798,1.812282598,2.534012466,4.874216122,3.462304896,2.188694,1.695988813,0.694853825,2.35434465,1.144152885,13.12138422,Quercus buckleyi,"TRAVIS County, Texas",Austin. Travis Co.,1921,NA,NA
TEX00378255,5.666666667,8.079504185,2.297449693,7.326811668,1.239647624,2.533822664,1.572557363,0.819763138,1.946701839,2.757324219,1.779998269,5.575490925,1.532134819,2.244412134,3.48314273,3.615414697,1.270815268,1.598105927,0.680894385,1.799429568,1.110838503,10.37695388,Quercus buckleyi,"TRAVIS County, Texas",Rob Roy Ranch #25.,1933,NA,NA
TEX00378256,7,7.164972063,2.52209463,6.099591928,1.27525157,2.621511142,2.276997988,0.860574094,1.538858356,2.190395075,1.280033622,4.336116419,1.040065473,1.807729785,2.677460133,2.860948792,1.791960403,1.172182656,0.609351611,2.309023431,1.181057,9.687066693,Quercus buckleyi,"TRAVIS County, Texas",Rob Roy Ranch #15.,1933,NA,NA
TEX00378257,5.333333333,8.971176227,3.026287019,7.991696754,2.050791334,4.87362991,1.516727961,1.057440362,1.713424899,3.411651339,2.312162821,4.25819579,1.136519969,2.082397511,4.180283024,3.334455687,0.730831923,3.29263576,0.542322298,3.166388299,1.138985909,11.99746325,Quercus buckleyi,"TRAVIS County, Texas",Upper Barton #4.,1933,NA,NA
TEX00378260,5,8.720276542,2.579343736,7.897738435,1.673053711,5.130544283,2.568944677,1.310289894,1.792762026,3.593800539,1.783238824,3.684763515,1.34191579,1.75136125,3.941100631,3.422301412,1.5620883,2.000062674,0.774327852,2.687125733,1.104214114,11.29962028,Quercus buckleyi,"TRAVIS County, Texas",Austin.,1901,NA,NA
TEX00378261,6,8.394549741,3.317681654,8.204152283,1.687408818,4.019752202,3.072640796,1.18250484,1.268163819,3.724778861,1.818767154,4.460940975,2.50570305,2.32816294,3.942431137,2.529819322,2.0042028,1.327505358,1.075845039,1.480765852,1.025091087,11.71223139,Quercus buckleyi,"TRAVIS County, Texas",Austin.,1906,NA,NA
TEX00378262,5.333333333,6.080339164,1.947231252,5.763031249,1.309475651,2.730539173,1.665173816,0.836140537,1.16537901,1.958894276,1.461755872,3.674388261,0.919202519,1.614227161,2.720181125,3.129835788,1.32097878,1.822142706,0.573415863,2.10996976,1.056489646,8.027570416,Quercus buckleyi,"TRAVIS County, Texas",Rob Roy Ranch #23.,1933,NA,NA
TEX00378263,7,9.185530439,3.01705586,7.643468983,1.631091631,3.819241924,2.730378712,1.330475326,0.983466391,3.807123901,1.290173336,5.046410272,2.504356764,2.597433878,3.884430744,3.044735274,1.680510882,1.423312438,0.948852766,1.552493595,1.230373019,12.2025863,Quercus buckleyi,"TRAVIS County, Texas",Austin.,1912,NA,NA
