TreeNo,height,log.BL,log.PL,log.BW,log.TLIW,log.TLL,log.TLDW,log.TEL,log.BLL,log.LLL,log.BSR,log.LSR,log.LLDW,log.LLIW,log.MidVeinD,log.BL_PL,Tufts,Lobe.number,PC1,PC2,PC3,PC4,PC5,PC6
QR-S2,12.0,2.78783174359817,1.3149734630414,2.54382758586158,1.42123542216012,1.8103293132663,1.83185341110229,1.09879993906067,1.10508946705102,1.51006030896595,1.42408049383146,2.33756469553069,1.22722028746346,1.42933862560812,1.93396172740616,2.9942516159213,0.666666667,7.333333333,20.63436735,-1.737158794,-2.265108001,7.559322252,0.479093507,0.700559007
QR-S3,12.0,2.76880457324581,1.2759827040427,2.63657662019842,1.35061814989119,1.91549199507252,1.91262590764188,1.21216803152893,1.6946550250771,1.6003186442147,1.48158828715576,2.29486240223326,1.21894478989578,1.44166858391775,1.83820524253887,2.97153117361398,1e-10,8.333333333,21.54133698,-2.224720931,-2.061302791,7.387593604,-0.01998287,0.152598349
QR-S4,15.0,2.75081623690909,1.78324836212701,2.61872353571793,1.17870983883777,1.78401398643832,1.66420364272172,0.826052095863524,1.390993460538,1.67221820610775,1.18987305063575,2.32973214950762,1.16611597466857,1.57651876424895,1.91666221960639,3.0729041836594,1e-10,7.0,22.30084773,-1.682450885,-2.209020829,7.607803763,0.165474567,0.869544372
QR-S5,12.0,2.70818859885813,1.4507309493281,2.55490729041612,1.43201352053003,1.94120212396306,1.98992886481901,1.25846103932591,1.05205212654482,1.64483647199413,1.09672513043797,2.24418477872666,1.51829827198792,1.41255764054266,2.01096560749527,2.9584616679843,1.0,7.0,22.27240483,-1.488817347,-1.485403356,7.550174949,0.129362262,0.260920006
QA-PO13,5.0,2.3311153732843,1.27539073605592,2.46370098304213,1.42593691869776,1.30427545045957,1.66607671322079,0.648953680772771,1.19983908316104,1.28168255732959,0.999444429243337,2.02819578537286,1.36989502532688,1.3895316614042,1.7518745174905,2.62969302678555,1e-10,5.0,-8.87764643,0.286487607,-12.03386165,-1.839147276,-4.522032946,5.146417007
QA-PO15,3.0,2.53138062493123,1.06274186624473,2.44791238871647,1.60091476175864,1.41021562922741,1.39243986576361,0.403913541050286,0.570619113841049,1.34261433031248,1.02732133969411,2.22041668489437,1.3759118514159,1.43785534516287,1.84249872839143,2.73858882607327,1.666666667,7.0,-9.177108596,-0.571629284,-10.54033049,-1.571035421,-4.231814397,5.444796531
QA-PO8,3.5,2.19120259621697,1.13220582133303,2.33433070921013,1.05361214100408,1.40498258362903,1.36482633346907,0.458872980266107,1.05144641457503,1.32406444536771,1.0535710211461,1.65384397723037,1.30842119844736,1.01571014085616,1.64864233180079,2.48893664593409,1.0,5.333333333,-6.386409837,-0.312735673,-8.157215812,-1.539485005,-4.823638168,6.620607212
QA-PO9,2.0,2.1356630755278,1.08682420238641,2.31459707045994,0.703168294551492,1.49166177245394,1.39904084147713,0.562877648564812,1.01637726309308,1.47865177990389,0.848881702446914,1.42710986465908,1.57906822321055,1.05118424509107,1.65228201184154,2.43602267784376,0.333333333,5.0,-9.09062444,-0.186878564,-10.93145136,-2.393678531,-6.505927371,8.318579526
QR-PO8,4.5,2.64592639348478,1.13301003196481,2.48763277137295,1.31942054303112,1.52599540098836,1.25115429784972,0.625040087369828,0.781786753527148,1.21880131737828,1.11492514424567,2.33284623591526,1.2779212903267,1.34283833965702,1.90107710898277,2.84499580508498,1e-10,7.0,22.16005006,-1.277518849,-1.941225566,7.790552104,0.229592797,-0.02473054
QA-Pr9,2.5,2.20232822487618,0.515314215747786,2.1800631709565,1.05468671531726,0.693899623403814,0.785692415059897,0.107513124631801,0.526694521731272,0.791116381577347,0.715863609590093,2.04267206198758,0.528192028822381,1.20181910087072,1.51177563956638,2.37213118435999,1e-10,6.0,-0.240544969,-0.068756308,-0.529028269,-0.025802103,-0.029802621,-0.343881475
QA-AL2,27.0,2.57624201243237,1.24431365911703,2.4428934269397,1.29658968983073,1.23667988020936,1.26717518125151,0.387268388132291,0.849998258741684,1.2990392626144,1.10111801072287,2.311360861051,1.29589613750742,1.39815118138744,1.7857541605702,2.81577922862001,2.0,7.0,-15.45184579,-4.552369442,8.38881867,3.704659454,0.695152875,0.413812757
QA-AL5,27.0,2.41860785850581,1.38252486699535,2.4743355099895,1.18665648503281,1.49017088413011,1.57070679612872,0.613648569214152,1.29637358575047,1.58895448796411,1.18176078285136,1.91499368328845,1.32645843264058,1.25019969153471,1.83230833749273,2.72229261339216,2.0,5.666666667,-10.49077346,-3.099164364,5.522801789,2.842226835,1.245735739,-0.315350945
QA-AL6,6.0,2.53377033823858,1.27232275510365,2.30662922645154,0.946797840059607,1.08386326627287,0.705087508767168,0.171272024098064,0.587133843527274,1.31075462767728,1.07650624734956,2.27815006755026,0.966559768829108,1.24093883933244,1.82226535342839,2.78316135942019,2.0,7.0,-11.72131223,-3.803763605,6.603997226,3.177949152,0.332033365,0.374153981
QS-AL8,18.0,2.63061188416811,1.43110872989767,2.42256516406631,0.854772647714085,1.284772891054,0.938905306252558,0.481343371276439,1.28208098002932,1.37509627695623,1.02695453238487,2.34267256886151,0.638913702803159,1.11733792739672,1.81496776499269,2.89400938093803,2.0,7.666666667,-18.68844669,-7.264904782,15.77829213,7.587874329,3.042774332,-0.459072356
QS-AL8,18.0,2.63061188416811,1.43110872989767,2.42256516406631,0.854772647714085,1.284772891054,0.938905306252558,0.481343371276439,1.28208098002932,1.37509627695623,1.02695453238487,2.34267256886151,0.638913702803159,1.11733792739672,1.81496776499269,2.89400938093803,2.0,7.666666667,-18.68844669,-7.264904782,15.77829213,7.587874329,3.042774332,-0.459072356
QS-AL9,18.0,2.73090688745969,1.46092899804351,2.55372381539513,1.1095127069891,1.29929969026344,0.875502411370257,0.57781579390467,0.77857871316904,1.37022374296135,1.21666657168175,2.46479066405019,0.994514053036573,1.28096476220636,1.89207947523406,2.9784213066323,2.0,8.0,-14.71770739,-4.714826001,11.21394372,4.84420997,0.340676677,0.765170958
QS-H10,20.0,2.79313788331027,1.31728505047996,2.62235263922487,1.4454213257722,1.71738507345851,0.938116009096871,0.679314304964826,0.824310059782292,1.57114040787259,0.915293362666801,2.39475652389386,1.25632912704361,1.40008047815778,1.94386146565011,2.99899992595803,2.0,7.0,-2.270945013,-4.630465999,10.64710962,-4.476247801,1.026612614,-0.0467499
QS-H11,20.0,2.9235951506926,1.14353982088319,2.72638101443886,1.50984857809343,1.80181805395753,1.77308035439532,1.05286246886418,1.06293653437018,1.72520516291557,1.43729286891214,2.57700493531125,1.50748070871256,1.55872479665775,2.13641439885382,3.07942626087783,2.0,7.666666667,-2.365435542,-4.486596126,9.816140611,-4.783671704,1.333291061,-0.444040315
QS-H13,20.0,2.86947112227608,1.41020585261704,2.63608721461589,1.88248422262132,1.8673519236592,0.845521817871269,0.636137540534977,0.376577785527018,1.59663140951604,0.876763031060984,2.46854538121839,1.49244618573519,1.65443227288512,2.10032387460954,3.07844026466349,0.666666667,7.0,11.7231665,-2.273562167,5.976236662,-13.25895965,-0.004128961,-0.563826469
QS-H2,5.0,2.93109656422713,1.27164712903202,2.82387050118603,1.74219626509021,2.02946450748374,1.66337519978965,1.15952428785438,1.16675040006283,1.78498984175217,1.22310291612249,2.53832287973571,1.69649578872595,1.58965536561231,2.23209076474196,3.10525463425769,1.0,8.0,1.18383654,-0.908871994,1.264079069,-1.52366947,0.16447343,-0.022908565
QS-H5,8.0,2.83065530388298,1.02175061383499,2.5264882805116,1.7241310698184,1.70685108920755,1.75597509943812,0.966938500674889,0.939798031136205,1.33612906162262,1.1600999450219,2.47621586491532,1.16011725667003,1.08961864684202,1.94036719666792,2.98237459061434,2.0,7.0,-4.20085427,-5.031808949,11.54662332,-2.833565741,0.750589867,-0.239539692
QS-H8,2.5,2.81284650442219,1.08232123784396,2.56763638416966,1.49030578528789,1.79102365074669,0.879765107225022,0.517360186529801,0.677057241449744,1.5149966530091,0.858918743181663,2.45292847654391,1.26671818083393,1.40980329856511,2.05430665350316,2.97597786216541,2.0,7.0,-2.131488767,-4.887930415,9.53623754,-4.516544739,0.903677477,-0.492404835
QS-H9,20.0,2.7498504970895,1.41324377984065,2.66746957189545,1.24699916162832,1.54003895078942,1.23889293069824,0.905923359911431,1.25197403908667,1.36035903584437,1.35138095458826,2.4614760590338,0.629685073480838,1.18821077168333,1.97176283665171,2.98313105058901,2.0,7.0,-0.433134494,-4.353332267,8.090811357,2.395164905,0.685521302,0.104251233
QS-L10,20.0,2.76627357234034,1.34104056743989,2.54171674593535,1.05724461994754,1.9858459998433,1.07777505423049,0.432433740631505,1.2263587977389,1.7758015312729,1.20717323228847,2.18336660758495,1.17497985990865,1.34076911189793,1.9401082097381,2.98174974858643,1.333333333,5.666666667,10.11882432,-2.320689434,6.74286294,-14.98446297,-0.767871051,0.126735381
QS-L2,20.0,2.80031318473461,1.51365778616223,2.6288053514997,1.22323952363732,1.6591845989901,1.22255005910095,0.451186883870728,1.04227792873187,1.6338254870905,1.2078030854246,2.4682115658735,1.40543425292404,1.32462379812264,2.07285989621559,3.04419460875528,1.0,7.0,8.153485627,-2.797756674,6.981162475,-11.10236978,-0.129154472,-0.222462718
QS-L4,20.0,3.08445246518788,1.69486468294778,2.82521709023856,1.50561707197896,1.90486470040438,0.607102634584003,0.294188515817292,1.02317476710643,1.93248370062849,1.81524371333602,2.69579460784561,1.34544763478339,1.75542034632946,2.30973431032981,3.30693819939971,1.0,7.0,11.07666586,-2.365807609,6.560363832,-13.13028615,-0.006765438,0.158078124
QS-L5,15.0,2.77607900909592,1.16213386508013,2.49606037508342,1.71152280595468,1.44715134793749,1.04674978845401,0.611338731924649,0.14059439578965,1.08119595498722,1.02709412345212,2.5182849437827,0.847600791213313,1.18056162679684,1.89300357101771,2.95765076993505,1.333333333,7.0,10.45908697,-2.437794368,6.930318135,-14.38629801,-0.0840419,-0.31941315
QS-L6,12.0,2.79193380554043,1.64565011609615,2.59934534826666,1.40027334771414,1.56587171519815,1.42080530213017,0.907714164036328,0.705441929927047,1.45510422799585,1.34279419652242,2.46929992003893,1.08213460489577,1.43988534977257,1.960116254521,3.06790938297003,1.333333333,7.0,11.46508635,-2.250522879,6.702428768,-13.09974957,-0.950802393,0.3321994
QS-L8,5.0,2.83482125009395,1.40198822837302,2.70678906420327,1.53881413688868,1.8541603279738,1.0964354828111,0.749431099140351,0.776124969894834,1.65254443948558,0.944939159462067,2.4300391236833,1.23292750219142,1.48342962467248,2.05818476039905,3.04882872567507,1.0,5.666666667,9.431954467,-2.568364316,6.316319537,-13.37776455,-0.320142011,-0.072016014
QS-L9,10.0,2.72145428102387,1.2641931266361,2.54440917483828,1.41096423881768,1.76130518217798,0.852427059668145,0.528557708379122,1.03744238319072,1.49931484581296,1.3081451209548,2.32710640408388,1.2636631623715,1.389158291653,1.88406452042586,2.93080166596057,1.333333333,7.0,10.6032644,-2.771147859,6.416656372,-15.77443832,-0.0536317,0.138010382
QS-W1,20.0,2.72828578955914,1.28521773952657,2.45674595419805,1.39895198804655,1.60387528929331,1.42919027661856,0.667132986052273,0.609337870930862,1.41865241703529,1.11041609582186,2.35476454702613,1.24643449991334,1.56092130180549,1.82370156638154,2.94032953854878,1.666666667,7.0,-16.69840711,-6.31722524,13.32537518,5.599484361,1.435102833,-0.052315333
QS-W5,20.0,2.7754656879274,1.31606982546379,2.43701586555516,0.985433223207499,1.14721043218053,0.404930063664077,0.245780495391948,0.972113249646608,1.24896840538111,1.37535074231704,2.58095453317969,1.05741467395865,1.28051355354068,1.9658509616214,2.98441020413752,2.0,7.333333333,-13.91950119,-5.383929284,11.3318966,2.655005395,1.535301629,-0.325178653
QA-RP12,2.5,2.56666560233195,0.794169130286769,2.43512158411816,1.31759548194868,1.32033093435297,1.25999103411969,0.686152181498626,0.806925394278196,1.36821436558128,1.0539444364334,2.25640590084366,1.38626194009433,1.40452842798576,1.77969732231857,2.72359096149242,1.0,7.0,-2.042102406,-0.342480667,-0.065549391,0.354318521,0.119895068,-0.062938816
QA-RP13,4.0,2.43812289231279,1.22207725524234,2.34348252946848,0.846006421553222,1.5777966858152,1.18590631234829,0.720073677634812,1.01190532824814,1.52895346505795,0.953475198668867,1.93480061940933,1.26254423442137,1.13728530442665,1.67507340486609,2.69771402709448,2.0,6.333333333,-12.37426298,-2.501410266,2.112610707,2.016016044,-0.013560479,0.575510905
QA-RP14,5.0,2.56793447832081,1.20373350309568,2.54285455985673,1.41913445437285,1.40759212333089,1.29653662816291,0.524039530683445,0.981128476739841,1.41970547009821,1.2137974392599,2.26204304438944,1.30286388468249,1.35422060094617,1.96857268515186,2.79553592895857,2.0,7.0,-5.624954741,-1.547011144,0.390431101,0.782914269,0.035047637,-0.264244235
QA-RP2,5.5,2.5001456475235,1.2863268150027,2.49868021391693,1.10370936646839,1.32172613314108,0.96217927670059,0.356230432958363,0.85542759308981,1.63771284543122,0.587009941108055,2.1612963054338,1.58430163340833,1.3772543737833,1.92711734254988,2.76024634056912,1.0,5.666666667,-11.69708504,-2.834073774,1.272640808,2.472366768,-0.783549402,1.968492082
QA-RP3,5.5,2.36054739374142,1.15619211603424,2.17890207445526,1.0070026880334,1.013912589328,0.683371490321217,0.255886941833432,0.870055982708818,0.912308861540297,1.16885904149497,2.14213664586169,0.645842027166004,1.06614212758119,1.62349260588543,2.62282340824919,2.0,6.333333333,-12.95729657,-2.78881943,2.343682289,2.281058876,-0.439860685,0.33571471
QA-RP7,5.0,2.42660581598774,0.896141518227865,2.32349970180955,1.3656178974649,1.19373279654646,1.22853410966174,0.399596073636338,0.525927068387702,1.00640476378155,0.882473267007907,2.16422665508056,1.05207362466886,1.33710276713829,1.68652205617798,2.62253039189935,0.666666667,6.0,-10.5722765,-2.414886422,0.417866532,1.615911964,-0.303631619,-0.66335491
QR-RP10,20.0,2.60243797376766,1.18931734113178,2.50608492195402,1.49889452375261,1.34768964931881,1.5949854212976,0.591233502171963,1.11648514796966,1.31549772355673,1.09597324278113,2.3721998979736,1.18763740696901,1.22632728962581,1.98593636476473,2.82027353406567,0.333333333,7.0,0.880872932,-0.696483506,0.718092969,0.848015535,-0.23192687,-0.082734166
QR-RP11,20.0,2.80691943087694,1.35256800556199,2.47901689501745,1.53735955816569,1.35651517983917,1.18344923267982,0.579071839214686,1.15914908513782,0.912263022330999,1.62586476290783,2.6176133777826,0.712095565153523,1.35141589431453,1.91261016413605,3.01681707361329,1e-10,7.0,14.93882086,-1.666065171,3.489041979,-7.169440578,-0.025718347,-0.169519177
QR-RP12,20.0,2.52551946963276,1.1244697591334,2.32538008966429,1.36239420241123,1.04206534642953,1.12191484745111,0.444949586472344,0.528203111021079,0.807147395251326,0.661735338019217,2.321912793805,0.866981542374376,1.20034688341268,1.71978807777985,2.74572931698941,1.333333333,6.666666667,12.7707409,-1.671057056,3.362380929,-8.480922498,0.044064096,-1.065972003
QR-RP2,15.0,2.76390856468736,1.21238993359433,2.53142693258195,1.37503039365884,1.64761573061526,1.69459199431848,0.933521279698275,0.744864818351097,1.56381877144215,1.12529759647316,2.40709509436712,1.18179751069785,1.4362495078621,2.00326059724914,2.95611930515868,1e-10,7.0,11.68974151,-1.983574462,2.558045297,-6.086590884,0.509759655,-0.708136773
QR-RP3,20.0,2.85682208970453,0.761160499775516,2.54934642698805,1.71837245117574,1.54141752607302,1.66054533501856,0.944700439596294,0.656141243538339,1.2724264863964,1.10703647701014,2.58158109779753,1.01028832261023,1.30807804963149,1.98680425567257,2.97281583535656,1e-10,9.0,14.47464213,-2.170601809,4.176484878,-10.94917645,0.388783239,-0.23543203
QR-RP3,20.0,2.85682208970453,0.761160499775516,2.54934642698805,1.71837245117574,1.54141752607302,1.66054533501856,0.944700439596294,0.656141243538339,1.2724264863964,1.10703647701014,2.58158109779753,1.01028832261023,1.30807804963149,1.98680425567257,2.97281583535656,1e-10,9.0,14.47464213,-2.170601809,4.176484878,-10.94917645,0.388783239,-0.23543203
QR-RP5,20.0,2.71899315597279,1.09644253946384,2.41562555373262,1.41378591034713,1.32110033692046,1.47485656788863,0.718279189772212,0.764390173290944,1.22972285295078,1.19719052588414,2.4408345094697,1.13278345248406,1.32623728621823,1.85960292710331,2.89914116786428,2.0,7.333333333,-8.980693645,-1.684933813,0.147743403,0.360918957,-1.045288934,-0.607774475
QR-RP6,20.0,2.65161971990206,0.880585487764208,2.50964305816729,1.5847431874215,1.51769371387428,1.59399177975985,0.916722600605428,1.00047749522938,1.26158332481694,1.37724435128859,2.34758671636372,0.754486355963325,1.32900571680032,1.96619540776537,2.80875757587188,1.0,7.333333333,17.51357945,-1.978855534,2.420859268,-3.902440403,-0.077398779,-0.129533373
QR-RP7,20.0,2.91496080143781,1.03041554732829,2.66029895257298,1.66980469320062,1.57448071859183,1.62593733800459,0.955065510613463,0.440888250377514,1.31967774971432,1.07038961161696,2.63348480044659,1.16632383698881,1.5660710290962,2.00284531139714,3.05637192113989,1e-10,8.0,13.39585983,-2.337104406,4.50911228,-8.272056898,0.453552612,0.007773256
QR-RP9,20.0,2.71192662007253,1.39923498342348,2.62586374000821,1.21838951090832,0.925543797119892,1.00475854105134,0.381589052777486,1.04773153057927,0.842138570682573,0.980186669098899,2.58540256946168,0.823325574474267,1.18486759321254,1.96916683153976,2.95023049120074,1.0,6.333333333,-10.51670774,-2.943086826,2.384662795,1.734799892,-0.681683026,1.110808837
QS-RP1,15.0,2.71053113237893,0.821234036180018,2.52234485133278,0.794311503653294,0.883541600596585,0.60275461579201,0.330318340901332,0.553877115493307,0.73049483390064,1.01819899708684,2.55024796032267,0.51012218441053,1.09728221985195,1.86628489434331,2.85131692845009,2.0,7.0,13.19326391,-2.658953125,3.982955771,-7.657168764,1.278452877,-0.343699549
QS-RP10,10.0,2.41969716049052,1.31624866998778,2.36486694602042,0.737848966307162,1.33720721744391,1.13412071081344,0.539692317429425,0.913659845325118,1.404709999786,0.874356596654629,2.03784715688571,1.21539896797817,1.09697439572015,1.68233857210789,2.70617237308627,2.0,6.333333333,-10.45645015,-2.566019609,2.671979114,1.996529866,0.322404082,0.994223982
QS-RP12,20.0,2.77607501243676,1.04838559122866,2.50221573615289,1.39416215990867,1.55671188775745,1.24755800586293,0.770866306961999,0.993993743237839,1.29311260516365,1.28686262242369,2.46380671525256,0.908970573167728,1.40041237160375,1.87503163918555,2.93963373719836,2.0,7.0,-13.48838453,-3.901896655,3.641492632,2.500405394,-0.040838936,0.12975338
QS-RP14,15.0,2.67881974698185,0.971114960689272,2.51404503761601,1.69659361577485,1.51618043024376,1.00010596703976,0.349915656840513,0.720998606160264,1.27172042529018,1.226020482256,2.3642261223286,1.1596832845703,1.35928240631483,1.88227974223804,2.8454195240246,1.666666667,7.0,-8.563557794,-1.962381078,0.256882041,1.586178167,-0.745601447,0.862587583
QS-RP15,15.0,2.61780769910041,1.54137369661297,2.64595001893185,1.20589992184159,1.56388697490083,1.16865277090813,0.792929491371735,1.30431285825951,1.4351665876364,1.28530075412186,2.21203434326244,1.06374273138476,1.06456787161524,1.8518270739785,2.91108062693667,2.0,5.666666667,-9.757292081,-2.284683486,-0.295546245,1.843656607,-0.677775183,0.283047638
QS-RP7,15.0,2.52455291020371,1.3636059716444,2.54608569748984,1.40891224832106,1.35905159209917,1.44344297827296,0.609058896441319,0.952141047382201,1.47750646686855,0.793733363658339,2.19549590348462,1.60307998779788,1.4450643406206,1.86175266358077,2.79701179728866,1.666666667,7.0,-11.01041817,-3.220426767,1.115255026,2.023495628,-0.026534456,0.002152713
QS-RP8,16.0,2.12137835687653,1.39690752398405,2.22027085508138,0.395163610749923,0.854803368177948,0.556419883038846,0.0741192041620713,0.877046862292766,1.06550501043926,0.752185460565986,1.81696508695675,0.858996327423197,0.847696851779551,1.44677454944749,2.51651088378791,2.0,5.666666667,-9.032593859,-2.847049909,0.790631139,1.509834051,-0.95924257,1.137497688
SH-QR21,18.0,2.82122649801298,1.48031007892422,2.60677139798444,1.74296798323275,1.62947856492945,1.75745205416649,0.753455323596371,0.289026094099911,1.53917136495185,1.39821900559406,2.47335101150139,0.804479019477714,1.46192601438176,2.09106575212645,3.05361186628192,1.0,9.666666667,14.76925537,-1.721371073,2.967185275,-6.33031138,-0.283202284,-0.338594004
SH-QR24,18.0,2.78520052432335,0.95177895100702,2.4073017744351,1.56707662109581,1.66190838680334,1.62017384749075,0.880907983630316,-0.117612315604881,1.40585530283992,1.11402296880172,2.44501263948772,0.72411109856187,1.36333165590781,1.96209857905211,2.93350469399949,1e-10,10.66666667,8.773040688,-2.341736885,5.779603159,-12.32509894,-0.432193749,-1.120986302
SH-QR25,18.0,2.74440961181062,1.36023058753654,2.61111486631528,1.44700818789862,1.60107773836123,1.76486594387175,0.891932898658915,0.657332198754199,1.75117378202808,1.18541876455583,2.39372849108093,1.55433899404733,1.55558403222722,2.07095945073973,2.96797658866885,1.0,7.0,13.51852375,-1.826562027,4.265359428,-10.18487412,-0.535513458,-0.832254031
SH-QR27,18.0,2.46877944688691,0.921826528637952,2.18074937014593,1.05085182577431,1.22900541140431,1.16652913215563,0.342289197395203,0.291734212432081,1.1414042225431,0.976208535671224,2.17334713301145,0.600576595586404,1.08206681137497,1.65709878490791,2.66179008565859,0.666666667,8.666666667,4.540473723,-2.236517045,2.868785371,-0.868424906,0.05890778,0.952524533
SH-QR5,20.0,2.74067836505266,1.25374442214071,2.52811243442163,1.29734046065259,1.4446240298979,1.43840899003238,0.45309386350027,-0.178774717073139,1.57018755453742,1.05454411572949,2.44359642499163,0.989697774662846,1.39950020831165,2.01534129808463,2.94448799164952,1.333333333,8.666666667,15.30608115,-2.033685241,4.84471852,-11.00791,-0.477981646,-0.051808933
SH-QR9,22.0,3.02041425681958,0.890501472055963,2.68426790011914,1.91757412416674,1.72465691870811,1.82583877257164,0.845555454708267,-0.531188787833557,1.60605768168577,1.0846818619244,2.74498552911012,1.26496670110492,1.71628843216432,2.24678646851547,3.13271353646445,1.333333333,9.0,11.72092291,-1.770264135,5.153833812,-12.58845197,-0.264383601,1.568802168
SH-QS1,10.0,2.66851302251903,1.29140129203779,2.48871084382415,1.01691042541241,1.12654991862002,0.847746194584692,0.100534480259973,0.807443363315318,1.36335744732551,1.03696486179821,2.45751267524017,0.878873264535431,1.36489553107966,1.96448338384327,2.89349985806321,2.0,8.333333333,-8.819664666,-3.383498441,4.857422409,1.657832673,1.026614715,-0.204236948
SH-QS12,22.0,2.2231647650937,0.793882141414638,2.04194545121954,0.822859941231134,1.3127941751498,1.2901477264347,0.507320666172081,-0.0222417889137162,1.30387994408253,0.39604814671488,1.73314361990361,0.880409381413695,0.934107591976337,1.44058369495819,2.4378572330133,2.0,6.666666667,-9.68128899,-3.396039849,5.346520487,2.224635054,0.417626462,0.284581493
SH-QS18,23.0,2.33116150508137,0.748929298238677,2.17680704535823,0.928030640675086,1.03092905209201,0.972962401317712,0.134886996503254,0.651460967919097,1.06981315335989,0.826323703100527,2.06823337734196,0.46474371888942,0.946225912208617,1.57660119327816,2.51806905722498,2.0,7.666666667,-14.97552109,-5.012044986,10.1298728,4.162591681,1.034923711,-2.324605378
SH-QS18,23.0,2.33116150508137,0.748929298238677,2.17680704535823,0.928030640675086,1.03092905209201,0.972962401317712,0.134886996503254,0.651460967919097,1.06981315335989,0.826323703100527,2.06823337734196,0.46474371888942,0.946225912208617,1.57660119327816,2.51806905722498,2.0,7.666666667,-14.97552109,-5.012044986,10.1298728,4.162591681,1.034923711,-2.324605378
SH-QS2,13.0,2.62419240851586,1.25767108027057,2.5236824130042,1.4355282344549,1.39672075042143,1.62771310006253,0.657794726316761,0.841431599331633,1.60255682898855,1.21284150200895,2.32981985402424,1.45534444670342,1.48919698636333,1.95345466123057,2.85132196755697,2.0,6.666666667,-8.408125245,-2.288342021,4.408345299,1.755349383,-0.421010004,-0.327213343
